month,state,cases,deaths,cases_growth_rate,deaths_growth_rate,mortality_rate,mortality_rate_change
2020-04,Wisconsin,119648,5402.0,11.792473003314445,39.01481481481481,4.514910403851298,2.1279968153497175
2020-04,Wyoming,10987,82.0,13.158505154639176,0.0,0.7463365795940656,0.0
2020-05,Alabama,372033,14438.0,1.9723167633382865,2.570227497527201,3.8808385277650097,0.2011598297879209
2020-05,Alaska,12256,243.0,0.48900498116875224,0.4046242774566473,1.9827023498694516,-0.05666918833667889
2020-05,Arizona,417110,19864.0,2.241753971461436,3.0788501026694046,4.762292920332766,0.2582232145243868
2020-05,Arkansas,150100,3137.0,1.8018890817793207,2.11519364448858,2.089940039973351,0.11181904549565447
2020-05,California,2476264,99379.0,1.8607981885083498,2.293312566277837,4.013263529252131,0.15118660921517302
2020-05,Colorado,660633,35594.0,1.5021513032807374,2.038326931284678,5.387862852748803,0.21428585365758046
2020-05,Connecticut,1124193,101014.0,1.406214415972466,2.395200322667384,8.98546779778917,0.4110132081871105
2020-05,Delaware,229386,8381.0,2.3993183165382335,3.5548913043478265,3.6536667451370177,0.3399425650100323
2020-05,District of Columbia,215106,11296.0,2.031797040169133,3.261033572236892,5.251364443576655,0.40544816021034946
2020-05,Florida,1396018,59664.0,1.0800139460454914,2.0604770453962553,4.273870394221278,0.4713733295946472
2020-05,Georgia,1109472,48939.0,1.4473773026772934,1.7111517367458866,4.411017132473825,0.10777840988393539
2020-05,Guam,34932,186.0,0.67982688146189,0.1923076923076923,0.5324630711095844,-0.29021989976129436
2020-05,Hawaii,19430,525.0,0.29637042967707505,0.916058394160584,2.7020072053525475,0.4780176640081746
2020-05,Idaho,75057,2266.0,0.6339116616235279,1.063752276867031,3.019038863796848,0.26307457455588157
2020-05,Illinois,2822196,125228.0,2.517469591954503,2.836407082899332,4.437253826452876,0.09067242306069523
2020-05,Indiana,857247,52744.0,1.9310295309310601,2.2521889258848193,6.152719111294645,0.10957221398303041
2020-05,Iowa,441186,10769.0,4.269528450623477,4.531073446327683,2.4409206094481695,0.04963347254976136
2020-05,Kansas,241100,5676.0,3.3398433984339846,1.5327978580990629,2.3542098714226465,-0.4163849647171569
2020-05,Kentucky,234711,10848.0,2.1386868146563254,1.7894060169709438,4.621854109947979,-0.11128246247901818
2020-05,Louisiana,1061231,75798.0,0.6962353689587766,1.305853005597469,7.142460029908662,0.3593944848661552
2020-05,Maine,52158,2180.0,1.3328562483227482,1.586002372479241,4.179608113808045,0.1085133832564682
2020-05,Maryland,1190664,59244.0,2.635704078267561,3.305523255813953,4.975711031827619,0.18423368985122868
2020-05,Massachusetts,2582585,170827.0,1.6414929339193352,2.977160551313094,6.614574157288143,0.5056487565204089
2020-05,Michigan,1558908,148969.0,0.9050731217302359,1.502881432819772,9.555984060637318,0.3137980921942729
2020-05,Minnesota,469404,21878.0,6.191726673816455,4.730225248821372,4.660803913047183,-0.20321982345576306
2020-05,Mississippi,344072,15804.0,2.1358810072821064,2.9788519637462234,4.593224673905462,0.26881471411274216
2020-05,Missouri,334500,17904.0,1.3155198670912363,2.5411392405063293,5.352466367713005,0.5293063518192656
2020-05,Montana,14576,502.0,0.2633038654879529,0.7928571428571429,3.444017563117453,0.419181237258899
2020-05,Nebraska,305559,3841.0,5.802898744322736,3.4353348729792144,1.2570403751812251,-0.3480228003274837
2020-05,Nevada,213197,10678.0,1.1830534507474915,1.6502854306279473,5.008513253000746,0.21402681630194298
2020-05,New Hampshire,109009,5085.0,1.962603614621552,4.039643211100099,4.664752451632434,0.7010858915541667
2020-05,New Jersey,4470485,308935.0,1.0444587231065086,2.0078961716711454,6.910547736990505,0.47124328687874706
2020-05,New Mexico,177992,7739.0,2.600962997430658,4.257472826086956,4.347948222392017,0.46001856443352596
2020-05,New York,10850463,854088.0,0.7144113270826089,1.008683013560741,7.871442905247454,0.1716459065741771
2020-05,North Carolina,573602,20390.0,2.407867298015055,3.2443796835970025,3.5547295860195747,0.24546507021244124
2020-05,North Dakota,57787,1330.0,2.8979426644182125,3.493243243243243,2.3015557132226974,0.15272173812589496
2020-05,Northern Mariana Islands,589,62.0,0.6591549295774648,0.14814814814814814,10.526315789473683,-0.3079922027290448
2020-05,Ohio,847509,49709.0,1.9513065704614783,2.9713190061516337,5.865306445123297,0.34561385316560367
2020-05,Oklahoma,160500,8877.0,1.364362211452057,1.4043878656554711,5.530841121495327,0.016928731989348078
2020-05,Oregon,108485,4161.0,1.1488986609618888,1.2750136686714053,3.835553302299857,0.058688206196314985
2020-05,Pennsylvania,1994490,134069.0,1.4243311936229257,3.382055891485537,6.721969024662947,0.8075318681755623
2020-05,Puerto Rico,81766,3633.0,1.9197971718325952,1.5055172413793105,4.443167086564097,-0.1418865441921311
2020-05,Rhode Island,381262,15471.0,2.1877294047808165,3.4726799653078926,4.057839490953728,0.4030927338437085
2020-05,South Carolina,269994,11736.0,1.384116135526769,2.5736906211936663,4.346763261405809,0.4989582797333243
2020-05,South Dakota,118915,1278.0,2.2821340840716515,5.056872037914692,1.0747172349997898,0.8454066417667006
2020-05,Tennessee,536423,8850.0,1.8634883522302648,1.3656776263031274,1.6498174015655553,-0.17384765177738948
2020-05,Texas,1463433,40047.0,1.960323577068023,2.262750529574711,2.736510656791257,0.10216009994631015
2020-05,Utah,221484,2472.0,1.6919309162949547,2.4238227146814406,1.1161077098119956,0.2718835739640104
2020-05,Vermont,29029,1651.0,0.37201058701200496,0.7233820459290188,5.687416032243618,0.25609967025271896
2020-05,Virgin Islands,2122,165.0,0.38692810457516336,1.8947368421052633,7.775683317624882,1.087157101046679
2020-05,Virginia,925423,30685.0,3.132957889894736,3.371705371135489,3.3157809996077465,0.05776673452795156
2020-05,Washington,594493,30824.0,0.8149576250488473,0.819813437241705,5.184922278311099,0.0026754410823928154
2020-05,West Virginia,47442,1951.0,1.2257565095003518,2.788349514563107,4.1123898655200035,0.7020502909428907
2020-05,Wisconsin,391353,13922.0,2.2708695506820007,1.5771936319881523,3.557402140778274,-0.21207691347678848
2020-05,Wyoming,22780,300.0,1.0733594247747336,2.658536585365854,1.3169446883230904,0.7645452793421703
2020-06,Alabama,800287,23697.0,1.1511183147731519,0.641293808006649,2.9610627187496483,-0.23700440057862027
2020-06,Alaska,23003,291.0,0.876876631853786,0.19753086419753085,1.2650523844715906,-0.3619554722599253
2020-06,Arizona,1297231,37510.0,2.1100453117882574,0.8883407168747484,2.8915436032595583,-0.3928253361077354
2020-06,Arkansas,402154,5895.0,1.6792405063291138,0.8791839336946128,1.465856363482646,-0.2986131968162411
2020-06,California,4905111,155690.0,0.9808513954893339,0.5666287646283421,3.1740362246644365,-0.20911343062091026
2020-06,Colorado,886415,48035.0,0.34176615458204473,0.34952520087655214,5.4190193081118885,0.005782711292881215
2020-06,Connecticut,1348657,125398.0,0.19966678319470055,0.24139228225790488,9.297990519457505,0.0347809072049905
2020-06,Delaware,312601,13062.0,0.3627727934573164,0.5585252356520702,4.17848951218966,0.14364275771762025
2020-06,District of Columbia,291828,15437.0,0.35667066469554554,0.36658994334277617,5.2897597214797765,0.007311486055797456
2020-06,Florida,2637626,89605.0,0.8893925436491505,0.501826897291499,3.397183679566398,-0.20512711752800294
2020-06,Georgia,1734682,73197.0,0.5635203051541635,0.4956782933856434,4.219620656696732,-0.04339055370427747
2020-06,Guam,35170,180.0,0.006813237146455986,-0.032258064516129004,0.5117998294000569,-0.038806901042861
2020-06,Hawaii,22303,514.0,0.14786412763767376,-0.020952380952380945,2.3046226964982286,-0.14707011441979845
2020-06,Idaho,116842,2628.0,0.5567102335558309,0.15975286849073256,2.2491912154875817,-0.2549975946123062
2020-06,Illinois,4025869,195076.0,0.42650226986360984,0.5577666336602038,4.845562535691052,0.0920183350350674
2020-06,Indiana,1241303,73069.0,0.44801090000898225,0.3853518883664493,5.886475743633907,-0.04327247235648879
2020-06,Iowa,731691,19631.0,0.6584637771824129,0.822917633949299,2.6829631634118773,0.09916035491970687
2020-06,Kansas,355114,7457.0,0.4728909166321029,0.31377730796335457,2.099889049713613,-0.10802810097612403
2020-06,Kentucky,389689,15726.0,0.6602928708070777,0.44966814159292046,4.035525765418064,-0.12685998531799492
2020-06,Louisiana,1436753,91082.0,0.3538550984658382,0.20164120425341037,6.339433430798475,-0.11242997451124082
2020-06,Maine,84057,3010.0,0.6115840331301048,0.3807339449541285,3.5809034345741577,-0.14324421403431686
2020-06,Maryland,1867000,88044.0,0.5680326271727372,0.48612517723313764,4.715800749866095,-0.05223580716383702
2020-06,Massachusetts,3164865,228975.0,0.22546402151332878,0.3403911559648065,7.234905754273879,0.09378254476174197
2020-06,Michigan,1981377,179464.0,0.27100316375308875,0.20470701958125526,9.057539276977575,-0.05216048713527255
2020-06,Minnesota,925287,39472.0,0.9711953881943911,0.8041868543742572,4.265919655198873,-0.08472449500458368
2020-06,Mississippi,614642,27336.0,0.7863761073263735,0.7296886864085042,4.447466980779055,-0.031733194754106075
2020-06,Missouri,517729,27450.0,0.5477698056801197,0.533176943699732,5.3020016263334675,-0.009428315455459746
2020-06,Montana,19781,581.0,0.3570938529088914,0.15737051792828693,2.9371619230574795,-0.1471698766835493
2020-06,Nebraska,508068,6926.0,0.662749256281111,0.8031762561832856,1.3632033507325791,0.08445470618718098
2020-06,Nevada,365782,14008.0,0.7156995642527804,0.31185615283761003,3.8296034249908413,-0.23538119367131272
2020-06,New Hampshire,159771,9573.0,0.46566797236925384,0.8825958702064898,5.991700621514543,0.2844627198636751
2020-06,New Jersey,5021309,388821.0,0.12321347683752437,0.25858513926877813,7.743419096494559,0.1205217576380948
2020-06,New Mexico,298314,13155.0,0.6759966740078205,0.6998320196407806,4.409782980349564,0.014221594829279871
2020-06,New York,11656829,918476.0,0.07431627572021582,0.07538801622315261,7.879295475639216,0.0009976024073714562
2020-06,North Carolina,1381996,34879.0,1.409329116704614,0.7105934281510544,2.5238133829620346,-0.29001255316636154
2020-06,North Dakota,93310,2366.0,0.6147230345925554,0.7789473684210526,2.535633908477119,0.10170433585840044
2020-06,Northern Mariana Islands,862,60.0,0.46349745331069614,-0.032258064516129004,6.960556844547564,-0.33874709976798134
2020-06,Ohio,1279993,77119.0,0.5103001856027487,0.5514092015530387,6.024954823971694,0.02721910275994799
2020-06,Oklahoma,277672,10849.0,0.7300436137071651,0.22214712177537455,3.907127834279293,-0.2935743861644401
2020-06,Oregon,184416,5420.0,0.6999216481541226,0.3025714972362412,2.9390074613916366,-0.23374615609451643
2020-06,Pennsylvania,2516170,188226.0,0.2615605994514889,0.4039487129761541,7.480655122666592,0.1128666459515093
2020-06,Puerto Rico,174784,4380.0,1.1376122104542232,0.20561519405450035,2.505950201391432,-0.43599910771546424
2020-06,Rhode Island,481310,25484.0,0.26241272405852145,0.6472109107362161,5.294716502877563,0.30481171438181454
2020-06,South Carolina,636483,18424.0,1.3573968310406896,0.5698704839809134,2.894657045042837,-0.33406609217851424
